Mass,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),2buteneE,13butadiene,acetaldehyde,acetone,diethylether,ethanol
1.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0
12.0,27.0,0.0,20.0,40.0,90.0,0.0,0.0,20.0
13.0,54.0,0.0,20.0,30.0,299.0,89.0,10.0,139.0
14.0,226.0,0.0,80.0,50.0,1089.0,455.0,70.0,145.0
15.0,604.0,0.0,380.0,30.0,3649.0,1201.0,319.0,664.0
16.0,54.0,0.0,10.0,10.0,569.0,85.0,0.0,0.0
17.0,61.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0
18.0,66.0,0.0,0.0,0.0,109.0,0.0,40.0,55.0
19.0,70.0,0.0,0.0,10.0,10.0,0.0,99.0,279.0
21.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
24.0,30.0,0.0,10.0,20.0,70.0,0.0,0.0,61.0
25.0,202.0,500.0,90.0,250.0,239.0,129.0,10.0,246.0
26.0,1087.0,1800.0,1131.0,1541.0,549.0,496.0,309.0,985.0
27.0,4090.0,4900.0,3513.0,4944.0,359.0,707.0,1939.0,2241.0
28.0,1414.0,0.0,3243.0,3413.0,329.0,121.0,509.0,345.0
29.0,7263.0,3900.0,1982.0,80.0,9999.0,362.0,4269.0,2985.0
30.0,372.0,200.0,70.0,0.0,119.0,0.0,129.0,812.0
31.0,2899.0,200.0,0.0,0.0,30.0,45.0,9999.0,9999.0
32.0,126.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0
33.0,0.0,100.0,0.0,0.0,0.0,0.0,20.0,31.0
34.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,108.0,400.0,10.0,90.0,0.0,70.0,0.0,0.0
37.0,681.0,1800.0,230.0,440.0,0.0,251.0,0.0,0.0
38.0,1208.0,2900.0,420.0,581.0,0.0,281.0,0.0,0.0
39.0,5234.0,9700.0,3593.0,9999.0,0.0,463.0,20.0,0.0
40.0,725.0,2700.0,641.0,350.0,109.0,128.0,0.0,0.0
41.0,3119.0,9999.0,9999.0,20.0,509.0,278.0,609.0,137.0
42.0,813.0,3000.0,340.0,0.0,1279.0,961.0,119.0,474.0
43.0,4112.0,400.0,10.0,0.0,4749.0,9999.0,829.0,1144.0
44.0,1078.0,0.0,0.0,0.0,8259.0,246.0,199.0,71.0
45.0,308.0,0.0,0.0,0.0,279.0,0.0,4459.0,5149.0
46.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,2163.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,73.0
48.0,46.0,100.0,20.0,150.0,0.0,0.0,0.0,0.0
49.0,228.0,400.0,150.0,811.0,0.0,0.0,0.0,0.0
50.0,670.0,500.0,621.0,2682.0,0.0,0.0,0.0,0.0
51.0,598.0,400.0,601.0,2532.0,0.0,0.0,0.0,0.0
52.0,213.0,200.0,200.0,1141.0,0.0,0.0,0.0,0.0
53.0,1350.0,300.0,811.0,7086.0,0.0,0.0,0.0,0.0
54.0,913.0,100.0,360.0,9519.0,0.0,0.0,0.0,0.0
55.0,870.0,500.0,2202.0,430.0,0.0,0.0,0.0,0.0
56.0,46.0,0.0,4784.0,10.0,0.0,0.0,0.0,0.0
57.0,9999.0,0.0,210.0,0.0,0.0,47.0,30.0,0.0
58.0,324.0,0.0,10.0,0.0,0.0,2484.0,20.0,0.0
59.0,34.0,0.0,0.0,0.0,0.0,93.0,6709.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0
61.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
66.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,32.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,181.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,138.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,696.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,2559.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0
73.0,110.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0
74.0,0.0,0.0,0.0,0.0,0.0,0.0,4399.0,0.0
75.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0
